Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
2905;Lechfeld;TT_TU;08.12.2005-04:00;08.12.2005-04:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;22.12.2005-04:00;22.12.2005-04:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;03.01.2006-02:00;03.01.2006-02:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;08.01.2006-09:00;08.01.2006-09:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;10.01.2006-13:00;10.01.2006-13:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;19.01.2006-20:00;19.01.2006-20:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;29.01.2006-14:00;29.01.2006-14:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;07.02.2006-22:00;07.02.2006-22:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;23.02.2006-20:00;23.02.2006-20:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;09.03.2006-18:00;09.03.2006-18:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;15.03.2006-18:00;15.03.2006-18:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;22.03.2006-00:00;22.03.2006-00:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;08.04.2006-05:00;08.04.2006-09:00;5;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;08.04.2006-19:00;09.04.2006-04:00;10;;eor;                                                                                                                                          
2905;Lechfeld;TT_TU;16.04.2006-11:00;16.04.2006-18:00;8;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;21.04.2006-01:00;21.04.2006-02:00;2;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;12.05.2006-02:00;12.05.2006-02:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;17.07.2006-07:00;17.07.2006-07:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;17.07.2006-09:00;17.07.2006-10:00;2;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;21.07.2006-16:00;22.07.2006-04:00;13;;eor;                                                                                                                                          
2905;Lechfeld;TT_TU;28.07.2006-11:00;28.07.2006-12:00;2;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;31.07.2006-05:00;31.07.2006-05:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;04.08.2006-05:00;04.08.2006-08:00;4;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;05.08.2006-18:00;05.08.2006-19:00;2;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;08.08.2006-10:00;08.08.2006-10:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;16.09.2006-05:00;16.09.2006-10:00;6;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;16.09.2006-19:00;17.09.2006-04:00;10;;eor;                                                                                                                                          
2905;Lechfeld;TT_TU;17.09.2006-15:00;17.09.2006-16:00;2;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;20.09.2006-10:00;20.09.2006-10:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;29.09.2006-06:00;29.09.2006-06:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;09.10.2006-13:00;09.10.2006-13:00;1;;eor;                                                                                                                                           
2905;Lechfeld;TT_TU;10.10.2006-22:00;10.10.2006-22:00;1;;eor;                                                                                                                                           
